by,descendants,id,kids,score,time,text,title,type,url
gabemart,112,15739744,"[15741246, 15740234, 15740939, 15744057, 15740220, 15741482, 15741159, 15741444, 15740230, 15740475, 15740309, 15740454, 15741853, 15741699, 15741971, 15744419, 15747446, 15743277, 15742639, 15740992, 15744101, 15740341, 15742062, 15741461, 15741537, 15740443, 15744591, 15740661, 15742512, 15742089, 15744733, 15741047, 15744387, 15744046, 15744519, 15740407, 15743707, 15742689, 15744493, 15741940, 15741784, 15744793, 15741039, 15741240, 15741135, 15740802, 15741232, 15742096, 15740272, 15740339, 15741807, 15742450, 15740268, 15745370, 15741835, 15745392, 15740284, 15742095]",550,1511184771,,Show HN: Fruits and vegetables in season in your zip code,story,https://harvestsignal.com
akane,7,15745951,"[15751196, 15745964, 15749105, 15747792, 15747255]",26,1511243747,,Show HN: Create beautiful charts with one line of React,story,https://github.com/ankane/react-chartkick
samadmin,12,15745004,"[15746310, 15745024, 15745485, 15749396, 15746301]",31,1511230033,,Show HN: Fill Paper and PDF Forms Online,story,https://form.ac/
abhishake85,3,15748598,"[15748680, 15749661]",9,1511278920,,Show HN: A Neural Networks Based Amazon Review Summarizer,story,https://thereviewindex.com
monsta-hd,11,15736090,"[15737039, 15736580, 15737056, 15737961, 15737905]",129,1511127573,,"Show HN: Boltzmann Machines in TensorFlow with Examples: RBM, DBM, AIS",story,https://github.com/monsta-hd/boltzmann-machines
me_elgris,36,15735439,"[15735871, 15736335, 15735713, 15735907, 15735705, 15739023, 15735959, 15737079]",90,1511119559,,Show HN: Example of a polyglot microservice app,story,https://github.com/elgris/microservice-app-example
sheetjs,0,15748066,,7,1511275023,,Show HN: Small in-browser editor for ZIP and OLE archives,story,http://sheetjs.com/cfb-editor/
bichenkk,68,15739711,"[15740052, 15739991, 15739965, 15739901, 15739763, 15742922, 15740518, 15742321, 15740016, 15739884, 15740199, 15746833, 15741261, 15739881, 15740235, 15740027]",67,1511184441,,Show HN: Coinmon – Check Bitcoin Prices in Terminal,story,https://github.com/bichenkk/coinmon
slbenfica,0,15744045,,4,1511217940,,Show HN: Librarian – Comments on arXiv papers,story,http://librarian.fermatslibrary.com/
alpb,0,15736644,,7,1511135182,,Show HN: Kubernetes network firewall rules recipes,story,https://github.com/ahmetb/kubernetes-networkpolicy-tutorial/blob/master/README.md
